geoname,geoid,year,est
Adams,AA18001,2013,8671
Allen,AA18003,2013,90579
Bartholomew,AA18005,2013,20674
Benton,AA18007,2013,2336
Blackford,AA18009,2013,3625
Boone,AA18011,2013,16166
Brown,AA18013,2013,4141
Carroll,AA18015,2013,5551
Cass,AA18017,2013,10077
Clark,AA18019,2013,28306
Clay,AA18021,2013,7356
Clinton,AA18023,2013,8408
Crawford,AA18025,2013,2889
Daviess,AA18027,2013,7936
Dearborn,AA18029,2013,13262
Decatur,AA18031,2013,6830
DeKalb,AA18033,2013,11486
Delaware,AA18035,2013,27873
Dubois,AA18037,2013,11401
Elkhart,AA18039,2013,50812
Fayette,AA18041,2013,6461
Floyd,AA18043,2013,20169
Fountain,AA18045,2013,4715
Franklin,AA18047,2013,6452
Fulton,AA18049,2013,5796
Gibson,AA18051,2013,9167
Grant,AA18053,2013,17507
Greene,AA18055,2013,8979
Hamilton,AA18057,2013,76696
Hancock,AA18059,2013,19490
Harrison,AA18061,2013,10220
Hendricks,AA18063,2013,40056
Henry,AA18065,2013,12399
Howard,AA18067,2013,22475
Huntington,AA18069,2013,9769
Jackson,AA18071,2013,11506
Jasper,AA18073,2013,9147
Jay,AA18075,2013,5506
Jefferson,AA18077,2013,8478
Jennings,AA18079,2013,7320
Johnson,AA18081,2013,37560
Knox,AA18083,2013,9529
Kosciusko,AA18085,2013,21184
LaGrange,AA18087,2013,9255
Lake,AA18089,2013,122309
LaPorte,AA18091,2013,28009
Lawrence,AA18093,2013,13164
Madison,AA18095,2013,32706
Marion,AA18097,2013,213144
Marshall,AA18099,2013,12253
Martin,AA18101,2013,2709
Miami,AA18103,2013,9102
Monroe,AA18105,2013,27437
Montgomery,AA18107,2013,10259
Morgan,AA18109,2013,19354
Newton,AA18111,2013,3859
Noble,AA18113,2013,12703
Ohio,AA18115,2013,1679
Orange,AA18117,2013,5209
Owen,AA18119,2013,6084
Parke,AA18121,2013,4142
Perry,AA18123,2013,4953
Pike,AA18125,2013,3696
Porter,AA18127,2013,43450
Posey,AA18129,2013,7432
Pulaski,AA18131,2013,3604
Putnam,AA18133,2013,9072
Randolph,AA18135,2013,7056
Ripley,AA18137,2013,7773
Rush,AA18139,2013,4933
St. Joseph,AA18141,2013,65452
Scott,AA18143,2013,6353
Shelby,AA18145,2013,11897
Spencer,AA18147,2013,5795
Starke,AA18149,2013,6349
Steuben,AA18151,2013,9580
Sullivan,AA18153,2013,5462
Switzerland,AA18155,2013,2990
Tippecanoe,AA18157,2013,38212
Tipton,AA18159,2013,4845
Union,AA18161,2013,2018
Vanderburgh,AA18163,2013,44977
Vermillion,AA18165,2013,4255
Vigo,AA18167,2013,24490
Wabash,AA18169,2013,9026
Warren,AA18171,2013,2429
Warrick,AA18173,2013,17003
Washington,AA18175,2013,7445
Wayne,AA18177,2013,18814
Wells,AA18179,2013,7833
White,AA18181,2013,6846
Whitley,AA18183,2013,9219
