geoname,geoid,year,est
Lawrence,,2014,13160
Madison,,2014,33262
Marion,,2014,212599
Marshall,,2014,11978
Martin,,2014,2721
Miami,,2014,9170
Monroe,,2014,27530
Montgomery,,2014,10069
Morgan,,2014,18868
Newton,,2014,3726
Noble,,2014,12845
Ohio,,2014,1597
Orange,,2014,5074
Owen,,2014,6042
Parke,,2014,4259
Perry,,2014,5007
Pike,,2014,3629
Porter,,2014,43750
Posey,,2014,7438
Pulaski,,2014,3632
Putnam,,2014,9079
Randolph,,2014,6923
Ripley,,2014,7953
Rush,,2014,4983
St. Joseph,,2014,65242
Scott,,2014,6190
Shelby,,2014,11745
Spencer,,2014,5781
Starke,,2014,6425
Steuben,,2014,9345
Sullivan,,2014,5508
Switzerland,,2014,2909
Tippecanoe,,2014,38297
Tipton,,2014,4694
Union,,2014,1971
Vanderburgh,,2014,45106
Vermillion,,2014,4174
Vigo,,2014,24804
Wabash,,2014,9043
Warren,,2014,2412
Warrick,,2014,16832
Washington,,2014,7418
Wayne,,2014,18257
Wells,,2014,7800
White,,2014,6684
Whitley,,2014,9349
Adams,,2013,8671
Allen,,2013,90579
Bartholomew,,2013,20674
Benton,,2013,2336
Blackford,,2013,3625
Boone,,2013,16166
Brown,,2013,4141
Carroll,,2013,5551
Cass,,2013,10077
Clark,,2013,28306
Clay,,2013,7356
Clinton,,2013,8408
Crawford,,2013,2889
Daviess,,2013,7936
Dearborn,,2013,13262
Decatur,,2013,6830
DeKalb,,2013,11486
Delaware,,2013,27873
Dubois,,2013,11401
Elkhart,,2013,50812
Fayette,,2013,6461
Floyd,,2013,20169
Fountain,,2013,4715
Franklin,,2013,6452
Fulton,,2013,5796
Gibson,,2013,9167
Grant,,2013,17507
Greene,,2013,8979
Hamilton,,2013,76696
Hancock,,2013,19490
Harrison,,2013,10220
Hendricks,,2013,40056
Henry,,2013,12399
Howard,,2013,22475
Huntington,,2013,9769
Jackson,,2013,11506
Jasper,,2013,9147
Jay,,2013,5506
Jefferson,,2013,8478
Jennings,,2013,7320
Johnson,,2013,37560
Knox,,2013,9529
Kosciusko,,2013,21184
LaGrange,,2013,9255
Lake,,2013,122309
LaPorte,,2013,28009
Lawrence,,2013,13164
Madison,,2013,32706
Marion,,2013,213144
Marshall,,2013,12253
Martin,,2013,2709
Miami,,2013,9102
Monroe,,2013,27437
Montgomery,,2013,10259
Morgan,,2013,19354
Newton,,2013,3859
Noble,,2013,12703
Ohio,,2013,1679
Orange,,2013,5209
Owen,,2013,6084
Parke,,2013,4142
Perry,,2013,4953
Pike,,2013,3696
Porter,,2013,43450
Posey,,2013,7432
Pulaski,,2013,3604
Putnam,,2013,9072
Randolph,,2013,7056
Ripley,,2013,7773
Rush,,2013,4933
St. Joseph,,2013,65452
Scott,,2013,6353
Shelby,,2013,11897
Spencer,,2013,5795
Starke,,2013,6349
Steuben,,2013,9580
Sullivan,,2013,5462
Switzerland,,2013,2990
Tippecanoe,,2013,38212
Tipton,,2013,4845
Union,,2013,2018
Vanderburgh,,2013,44977
Vermillion,,2013,4255
Vigo,,2013,24490
Wabash,,2013,9026
Warren,,2013,2429
Warrick,,2013,17003
Washington,,2013,7445
Wayne,,2013,18814
Wells,,2013,7833
White,,2013,6846
Whitley,,2013,9219
Adams,,2012,8793
Allen,,2012,90363
Bartholomew,,2012,20925
Benton,,2012,2294
Blackford,,2012,3661
Boone,,2012,16016
Brown,,2012,4255
Carroll,,2012,5551
Cass,,2012,10091
Clark,,2012,28338
Clay,,2012,7419
Clinton,,2012,8203
Crawford,,2012,2954
Daviess,,2012,7896
Dearborn,,2012,13002
Decatur,,2012,7019
DeKalb,,2012,11451
Delaware,,2012,27856
Dubois,,2012,11325
Elkhart,,2012,50519
Fayette,,2012,6527
Floyd,,2012,20054
Fountain,,2012,4662
Franklin,,2012,6415
Fulton,,2012,6066
Gibson,,2012,8924
Grant,,2012,17792
Greene,,2012,9093
Hamilton,,2012,75978
Hancock,,2012,19632
Harrison,,2012,10205
Hendricks,,2012,39599
Henry,,2012,12834
Howard,,2012,22713
Huntington,,2012,9667
Jackson,,2012,11698
Jasper,,2012,9378
Jay,,2012,5605
Jefferson,,2012,8475
Jennings,,2012,7456
Johnson,,2012,37244
Knox,,2012,9569
Kosciusko,,2012,21576
LaGrange,,2012,9418
Lake,,2012,122478
LaPorte,,2012,28281
Lawrence,,2012,13259
Madison,,2012,32641
Marion,,2012,211413
Marshall,,2012,12451
Martin,,2012,2691
Miami,,2012,9303
Monroe,,2012,27527
Montgomery,,2012,10193
Morgan,,2012,19427
Newton,,2012,3827
Noble,,2012,12934
Ohio,,2012,1687
Orange,,2012,5250
Owen,,2012,6035
Parke,,2012,4341
Perry,,2012,5037
Pike,,2012,3679
Porter,,2012,43048
Posey,,2012,7307
Pulaski,,2012,3605
Putnam,,2012,8955
Randolph,,2012,7096
Ripley,,2012,7693
Rush,,2012,4957
St. Joseph,,2012,64994
Scott,,2012,6414
Shelby,,2012,11959
Spencer,,2012,5892
Starke,,2012,6475
Steuben,,2012,9762
Sullivan,,2012,5471
Switzerland,,2012,2778
Tippecanoe,,2012,37676
Tipton,,2012,4854
Union,,2012,2101
Vanderburgh,,2012,45453
Vermillion,,2012,4361
Vigo,,2012,24724
Wabash,,2012,9093
Warren,,2012,2437
Warrick,,2012,16983
Washington,,2012,7411
Wayne,,2012,18826
Wells,,2012,7974
White,,2012,7107
Whitley,,2012,9163
