geoname,geoid,year,est
Adams,AA18001,2016,8537
Allen,AA18003,2016,91811
Bartholomew,AA18005,2016,20727
Benton,AA18007,2016,2316
Blackford,AA18009,2016,3493
Boone,AA18011,2016,17210
Brown,AA18013,2016,4201
Carroll,AA18015,2016,5423
Cass,AA18017,2016,9580
Clark,AA18019,2016,28370
Clay,AA18021,2016,7565
Clinton,AA18023,2016,8203
Crawford,AA18025,2016,2768
Daviess,AA18027,2016,8310
Dearborn,AA18029,2016,13673
Decatur,AA18031,2016,7217
DeKalb,AA18033,2016,11136
Delaware,AA18035,2016,27501
Dubois,AA18037,2016,11490
Elkhart,AA18039,2016,50709
Fayette,AA18041,2016,6533
Floyd,AA18043,2016,19524
Fountain,AA18045,2016,4491
Franklin,AA18047,2016,6584
Fulton,AA18049,2016,5278
Gibson,AA18051,2016,9180
Grant,AA18053,2016,16854
Greene,AA18055,2016,8386
Hamilton,AA18057,2016,81987
Hancock,AA18059,2016,19484
Harrison,AA18061,2016,10054
Hendricks,AA18063,2016,41052
Henry,AA18065,2016,11947
Howard,AA18067,2016,22223
Huntington,AA18069,2016,9885
Jackson,AA18071,2016,11715
Jasper,AA18073,2016,8776
Jay,AA18075,2016,5474
Jefferson,AA18077,2016,8633
Jennings,AA18079,2016,7235
Johnson,AA18081,2016,39160
Knox,AA18083,2016,9308
Kosciusko,AA18085,2016,21611
LaGrange,AA18087,2016,9392
Lake,AA18089,2016,123242
LaPorte,AA18091,2016,28396
Lawrence,AA18093,2016,13014
Madison,AA18095,2016,33604
Marion,AA18097,2016,208284
Marshall,AA18099,2016,11856
Martin,AA18101,2016,2617
Miami,AA18103,2016,9111
Monroe,AA18105,2016,27674
Montgomery,AA18107,2016,10176
Morgan,AA18109,2016,18722
Newton,AA18111,2016,3885
Noble,AA18113,2016,12806
Ohio,AA18115,2016,1695
Orange,AA18117,2016,5302
Owen,AA18119,2016,6003
Parke,AA18121,2016,4329
Perry,AA18123,2016,5021
Pike,AA18125,2016,3490
Porter,AA18127,2016,44153
Posey,AA18129,2016,7330
Pulaski,AA18131,2016,3554
Putnam,AA18133,2016,8994
Randolph,AA18135,2016,6881
Ripley,AA18137,2016,7986
Rush,AA18139,2016,4776
St. Joseph,AA18141,2016,64126
Scott,AA18143,2016,6219
Shelby,AA18145,2016,11521
Spencer,AA18147,2016,5899
Starke,AA18149,2016,6149
Steuben,AA18151,2016,9206
Sullivan,AA18153,2016,5487
Switzerland,AA18155,2016,2972
Tippecanoe,AA18157,2016,38455
Tipton,AA18159,2016,4376
Union,AA18161,2016,1839
Vanderburgh,AA18163,2016,44725
Vermillion,AA18165,2016,4181
Vigo,AA18167,2016,25083
Wabash,AA18169,2016,8602
Warren,AA18171,2016,2449
Warrick,AA18173,2016,17110
Washington,AA18175,2016,7528
Wayne,AA18177,2016,17280
Wells,AA18179,2016,7652
White,AA18181,2016,6723
Whitley,AA18183,2016,9409
