geoname,geoid,year,est
Adams,AA18001,2012,8793
Allen,AA18003,2012,90363
Bartholomew,AA18005,2012,20925
Benton,AA18007,2012,2294
Blackford,AA18009,2012,3661
Boone,AA18011,2012,16016
Brown,AA18013,2012,4255
Carroll,AA18015,2012,5551
Cass,AA18017,2012,10091
Clark,AA18019,2012,28338
Clay,AA18021,2012,7419
Clinton,AA18023,2012,8203
Crawford,AA18025,2012,2954
Daviess,AA18027,2012,7896
Dearborn,AA18029,2012,13002
Decatur,AA18031,2012,7019
DeKalb,AA18033,2012,11451
Delaware,AA18035,2012,27856
Dubois,AA18037,2012,11325
Elkhart,AA18039,2012,50519
Fayette,AA18041,2012,6527
Floyd,AA18043,2012,20054
Fountain,AA18045,2012,4662
Franklin,AA18047,2012,6415
Fulton,AA18049,2012,6066
Gibson,AA18051,2012,8924
Grant,AA18053,2012,17792
Greene,AA18055,2012,9093
Hamilton,AA18057,2012,75978
Hancock,AA18059,2012,19632
Harrison,AA18061,2012,10205
Hendricks,AA18063,2012,39599
Henry,AA18065,2012,12834
Howard,AA18067,2012,22713
Huntington,AA18069,2012,9667
Jackson,AA18071,2012,11698
Jasper,AA18073,2012,9378
Jay,AA18075,2012,5605
Jefferson,AA18077,2012,8475
Jennings,AA18079,2012,7456
Johnson,AA18081,2012,37244
Knox,AA18083,2012,9569
Kosciusko,AA18085,2012,21576
LaGrange,AA18087,2012,9418
Lake,AA18089,2012,122478
LaPorte,AA18091,2012,28281
Lawrence,AA18093,2012,13259
Madison,AA18095,2012,32641
Marion,AA18097,2012,211413
Marshall,AA18099,2012,12451
Martin,AA18101,2012,2691
Miami,AA18103,2012,9303
Monroe,AA18105,2012,27527
Montgomery,AA18107,2012,10193
Morgan,AA18109,2012,19427
Newton,AA18111,2012,3827
Noble,AA18113,2012,12934
Ohio,AA18115,2012,1687
Orange,AA18117,2012,5250
Owen,AA18119,2012,6035
Parke,AA18121,2012,4341
Perry,AA18123,2012,5037
Pike,AA18125,2012,3679
Porter,AA18127,2012,43048
Posey,AA18129,2012,7307
Pulaski,AA18131,2012,3605
Putnam,AA18133,2012,8955
Randolph,AA18135,2012,7096
Ripley,AA18137,2012,7693
Rush,AA18139,2012,4957
St. Joseph,AA18141,2012,64994
Scott,AA18143,2012,6414
Shelby,AA18145,2012,11959
Spencer,AA18147,2012,5892
Starke,AA18149,2012,6475
Steuben,AA18151,2012,9762
Sullivan,AA18153,2012,5471
Switzerland,AA18155,2012,2778
Tippecanoe,AA18157,2012,37676
Tipton,AA18159,2012,4854
Union,AA18161,2012,2101
Vanderburgh,AA18163,2012,45453
Vermillion,AA18165,2012,4361
Vigo,AA18167,2012,24724
Wabash,AA18169,2012,9093
Warren,AA18171,2012,2437
Warrick,AA18173,2012,16983
Washington,AA18175,2012,7411
Wayne,AA18177,2012,18826
Wells,AA18179,2012,7974
White,AA18181,2012,7107
Whitley,AA18183,2012,9163
